layout,systems_T,heuristic,repeat,status,cost,moves,nodes_expanded,time_s,error
tinyRepair,1,nullHeuristic,1,OK,24,24,148,0.0004639589999999999,
tinyRepair,1,nullHeuristic,2,OK,24,24,148,0.000432333,
tinyRepair,1,nullHeuristic,3,OK,24,24,148,0.0004595420000000003,
tinyRepair,1,nullHeuristic,4,OK,24,24,148,0.00043049999999999686,
tinyRepair,1,nullHeuristic,5,OK,24,24,148,0.00043820799999999896,
tinyRepair,1,manhattanHeuristic,1,OK,24,24,127,0.0004205420000000029,
tinyRepair,1,manhattanHeuristic,2,OK,24,24,127,0.0004133340000000013,
tinyRepair,1,manhattanHeuristic,3,OK,24,24,127,0.00041624999999999995,
tinyRepair,1,manhattanHeuristic,4,OK,24,24,127,0.00041320799999999824,
tinyRepair,1,manhattanHeuristic,5,OK,24,24,127,0.00041004199999999935,
tinyRepair,1,euclideanHeuristic,1,OK,24,24,129,0.00048225000000000004,
tinyRepair,1,euclideanHeuristic,2,OK,24,24,129,0.00045820799999999814,
tinyRepair,1,euclideanHeuristic,3,OK,24,24,129,0.0004624169999999997,
tinyRepair,1,euclideanHeuristic,4,OK,24,24,129,0.0004629170000000002,
tinyRepair,1,euclideanHeuristic,5,OK,24,24,129,0.00046279200000000006,
tinyRepair,1,systemRepairHeuristic,1,OK,24,24,66,0.0003442089999999981,
tinyRepair,1,systemRepairHeuristic,2,OK,24,24,66,0.000342791999999998,
tinyRepair,1,systemRepairHeuristic,3,OK,24,24,66,0.00034391699999999914,
tinyRepair,1,systemRepairHeuristic,4,OK,24,24,66,0.00033766699999999983,
tinyRepair,1,systemRepairHeuristic,5,OK,24,24,66,0.000341791000000001,
dualArray,2,nullHeuristic,1,OK,50,50,284,0.0008118750000000001,
dualArray,2,nullHeuristic,2,OK,50,50,284,0.0007740000000000004,
dualArray,2,nullHeuristic,3,OK,50,50,284,0.0007969999999999991,
dualArray,2,nullHeuristic,4,OK,50,50,284,0.0008287079999999974,
dualArray,2,nullHeuristic,5,OK,50,50,284,0.0007656249999999989,
dualArray,2,manhattanHeuristic,1,OK,50,50,263,0.0008819999999999974,
dualArray,2,manhattanHeuristic,2,OK,50,50,263,0.000837499999999998,
dualArray,2,manhattanHeuristic,3,OK,50,50,263,0.0008624169999999973,
dualArray,2,manhattanHeuristic,4,OK,50,50,263,0.0008452499999999988,
dualArray,2,manhattanHeuristic,5,OK,50,50,263,0.0008656249999999983,
dualArray,2,euclideanHeuristic,1,OK,50,50,263,0.0009580840000000014,
dualArray,2,euclideanHeuristic,2,OK,50,50,263,0.0009536250000000031,
dualArray,2,euclideanHeuristic,3,OK,50,50,263,0.0009790829999999986,
dualArray,2,euclideanHeuristic,4,OK,50,50,263,0.0009355839999999997,
dualArray,2,euclideanHeuristic,5,OK,50,50,263,0.0009583750000000009,
dualArray,2,systemRepairHeuristic,1,OK,50,50,242,0.0012331660000000008,
