layout,systems_T,heuristic,cost,moves,nodes_expanded,time_median_s,time_mean_s,time_min_s,successful_runs,attempted_runs,status,notes
tinyRepair,1,nullHeuristic,24,24,148,0.00043820799999999896,0.0004449083999999992,0.00043049999999999686,5,5,OK,
tinyRepair,1,manhattanHeuristic,24,24,127,0.0004133340000000013,0.0004146752000000004,0.00041004199999999935,5,5,OK,
tinyRepair,1,euclideanHeuristic,24,24,129,0.00046279200000000006,0.00046571679999999965,0.00045820799999999814,5,5,OK,
tinyRepair,1,systemRepairHeuristic,24,24,66,0.000342791999999998,0.0003420751999999992,0.00033766699999999983,5,5,OK,
dualArray,2,nullHeuristic,50,50,284,0.0007969999999999991,0.0007954415999999992,0.0007656249999999989,5,5,OK,
dualArray,2,manhattanHeuristic,50,50,263,0.0008624169999999973,0.0008585583999999979,0.000837499999999998,5,5,OK,
dualArray,2,euclideanHeuristic,50,50,263,0.0009580840000000014,0.0009569502000000008,0.0009355839999999997,5,5,OK,
dualArray,2,systemRepairHeuristic,50,50,242,0.0012130830000000002,0.0012104248000000006,0.0011680000000000024,5,5,OK,
triadCorridor,3,nullHeuristic,68,68,817,0.0023770840000000015,0.0023810083999999997,0.0023329170000000003,5,5,OK,
triadCorridor,3,manhattanHeuristic,68,68,705,0.002374207999999999,0.0023894165999999994,0.002362999999999997,5,5,OK,
triadCorridor,3,euclideanHeuristic,68,68,734,0.002853583,0.002838616599999999,0.0027917499999999956,5,5,OK,
triadCorridor,3,systemRepairHeuristic,68,68,528,0.003120875000000002,0.003111199999999999,0.0030742909999999964,5,5,OK,
fourCornerArray,4,nullHeuristic,78,78,2305,0.006757541999999998,0.006761325,0.006719790999999999,5,5,OK,
fourCornerArray,4,manhattanHeuristic,78,78,1972,0.006994792000000003,0.007028875200000001,0.006948417000000002,5,5,OK,
fourCornerArray,4,euclideanHeuristic,78,78,2053,0.008537083,0.008542533,0.008469458,5,5,OK,
fourCornerArray,4,systemRepairHeuristic,78,78,1008,0.007184125000000003,0.0072013584,0.007144958999999996,5,5,OK,
sixBayDeck,6,nullHeuristic,114,114,14473,0.047734542000000005,0.0476797082,0.047095415999999994,5,5,OK,
sixBayDeck,6,manhattanHeuristic,114,114,13220,0.053078625000000004,0.053211249800000006,0.052751958,5,5,OK,
sixBayDeck,6,euclideanHeuristic,114,114,13472,0.066671667,0.0666680666,0.06572483300000001,5,5,OK,
sixBayDeck,6,systemRepairHeuristic,114,114,4872,0.051508875,0.051782292,0.051201084,5,5,OK,
sevenNodeRing,7,nullHeuristic,127,127,37249,0.131442166,0.1317225916,0.13052879199999998,5,5,OK,
sevenNodeRing,7,manhattanHeuristic,127,127,35252,0.151027625,0.1513232166,0.14928475,5,5,OK,
sevenNodeRing,7,euclideanHeuristic,127,127,35638,0.192987208,0.19330434999999999,0.191991,5,5,OK,
sevenNodeRing,7,systemRepairHeuristic,127,127,13343,0.163625959,0.1642224668,0.163538083,5,5,OK,
nineBlockGrid,9,nullHeuristic,162,162,190992,0.781897375,0.7837443584,0.777277334,5,5,OK,
nineBlockGrid,9,manhattanHeuristic,162,162,185546,0.9724719169999999,0.9687529334,0.949655375,5,5,OK,
nineBlockGrid,9,euclideanHeuristic,162,162,186937,1.2081305,1.2050959834,1.197177792,5,5,OK,
nineBlockGrid,9,systemRepairHeuristic,162,162,62488,1.1173509579999998,1.1186909668,1.115593208,5,5,OK,
